,No,Year,Material,Type,Coat,Surface_Charge,Diameter (nm),Cell_Type,Human_Animal,Cell_Age,Cell Line_Primary Cell,Time (hr),Concentration (ug/ml),Cell_Viability (%),DOI
1066,1067,2019,Au,I,Chitosan,Positive,-,HepG2,H,Adult,L,24,-,4.0359,10.1186/s11671-019-2967-1
1067,1068,2019,Au,I,Chitosan,Positive,-,HepG2,H,Adult,L,24,-,2.9895,10.1186/s11671-019-2967-1
1068,1069,2019,Au,I,Chitosan,Positive,-,HepG2,H,Adult,L,24,-,1.3453,10.1186/s11671-019-2967-1
1069,1070,2019,Au,I,Chitosan,Positive,-,HepG2,H,Adult,L,24,-,1.1958,10.1186/s11671-019-2967-1
1070,1071,2019,Au,I,Chitosan,Positive,8.7,HT29,H,Adult,L,24,-,97.369,10.1186/s11671-019-2967-1
1071,1072,2019,Au,I,Chitosan,Positive,8.7,HT29,H,Adult,L,24,-,95.658,10.1186/s11671-019-2967-1
1072,1073,2019,Au,I,Chitosan,Positive,8.7,HT29,H,Adult,L,24,-,93.756,10.1186/s11671-019-2967-1
1073,1074,2019,Au,I,Chitosan,Positive,8.7,HT29,H,Adult,L,24,-,92.805,10.1186/s11671-019-2967-1
1074,1075,2019,Au,I,Chitosan,Positive,8.7,HT29,H,Adult,L,24,-,75.689,10.1186/s11671-019-2967-1
1075,1076,2019,Au,I,Chitosan,Positive,99,HT29,H,Adult,L,24,-,99.271,10.1186/s11671-019-2967-1
1076,1077,2019,Au,I,Chitosan,Positive,99,HT29,H,Adult,L,24,-,96.038,10.1186/s11671-019-2967-1
1077,1078,2019,Au,I,Chitosan,Positive,99,HT29,H,Adult,L,24,-,89.952,10.1186/s11671-019-2967-1
1078,1079,2019,Au,I,Chitosan,Positive,99,HT29,H,Adult,L,24,-,82.536,10.1186/s11671-019-2967-1
1079,1080,2019,Au,I,Chitosan,Positive,99,HT29,H,Adult,L,24,-,48.875,10.1186/s11671-019-2967-1
1080,1081,2019,Au,I,Chitosan,Positive,-,HT29,H,Adult,L,24,-,3.4231,10.1186/s11671-019-2967-1
1081,1082,2019,Au,I,Chitosan,Positive,-,HT29,H,Adult,L,24,-,3.4231,10.1186/s11671-019-2967-1
1082,1083,2019,Au,I,Chitosan,Positive,-,HT29,H,Adult,L,24,-,3.0428,10.1186/s11671-019-2967-1
1083,1084,2019,Au,I,Chitosan,Positive,-,HT29,H,Adult,L,24,-,1.9017,10.1186/s11671-019-2967-1
1084,1085,2019,Au,I,Chitosan,Positive,-,HT29,H,Adult,L,24,-,2.2821,10.1186/s11671-019-2967-1
1085,1086,2019,Au,I,Chitosan,Positive,-,HepG2,H,Adult,L,24,-,93.237,10.1186/s11671-019-2967-1
1086,1087,2019,Au,I,Chitosan,Positive,-,HepG2,H,Adult,L,24,-,74.101,10.1186/s11671-019-2967-1
1087,1088,2019,Au,I,Chitosan,Positive,-,HepG2,H,Adult,L,24,-,20.144,10.1186/s11671-019-2967-1
1088,1089,2019,Au,I,Chitosan,Positive,-,HepG2,H,Adult,L,24,-,21.295,10.1186/s11671-019-2967-1
1089,1090,2019,Au,I,Chitosan,Positive,-,HepG2,H,Adult,L,24,-,15.108,10.1186/s11671-019-2967-1
1090,1091,2015,Au,I,None,unknown,25,A549,H,Adult,L,4,2.5,96.783,10.1016/j.etap.2015.02.003
1091,1092,2015,Au,I,None,unknown,25,A549,H,Adult,L,4,5,69.437,10.1016/j.etap.2015.02.003
1092,1093,2015,Au,I,None,unknown,25,A549,H,Adult,L,4,7.5,21.716,10.1016/j.etap.2015.02.003
1093,1094,2015,Au,I,None,unknown,25,A549,H,Adult,L,4,10,15.013,10.1016/j.etap.2015.02.003
1094,1095,2015,Au,I,None,unknown,25,A549,H,Adult,L,4,12.5,7.7748,10.1016/j.etap.2015.02.003
1095,1096,2015,Au,I,None,unknown,25,A549,H,Adult,L,4,15,6.9705,10.1016/j.etap.2015.02.003
1126,1127,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,5,99.752,10.1002/jat.3213
1127,1128,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,10,103.22,10.1002/jat.3213
1128,1129,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,25,99.257,10.1002/jat.3213
1129,1130,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,50,100.25,10.1002/jat.3213
1130,1131,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,75,97.525,10.1002/jat.3213
1131,1132,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,100,98.267,10.1002/jat.3213
1132,1133,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,150,99.01,10.1002/jat.3213
1133,1134,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,175,98.267,10.1002/jat.3213
1134,1135,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,200,96.535,10.1002/jat.3213
1135,1136,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,300,97.277,10.1002/jat.3213
1136,1137,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,5,96.923,10.1002/jat.3213
1137,1138,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,10,97.788,10.1002/jat.3213
1138,1139,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,25,100.1,10.1002/jat.3213
1139,1140,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,50,93.173,10.1002/jat.3213
1140,1141,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,75,94.615,10.1002/jat.3213
1141,1142,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,100,96.346,10.1002/jat.3213
1142,1143,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,150,91.442,10.1002/jat.3213
1143,1144,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,175,93.173,10.1002/jat.3213
1144,1145,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,200,94.615,10.1002/jat.3213
1145,1146,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,300,96.346,10.1002/jat.3213
1146,1147,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,5,94.554,10.1002/jat.3213
1147,1148,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,10,101.73,10.1002/jat.3213
1148,1149,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,25,100.5,10.1002/jat.3213
1149,1150,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,50,96.287,10.1002/jat.3213
1150,1151,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,75,95.05,10.1002/jat.3213
1151,1152,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,100,100.99,10.1002/jat.3213
1152,1153,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,150,96.535,10.1002/jat.3213
1153,1154,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,175,95.792,10.1002/jat.3213
1154,1155,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,200,96.04,10.1002/jat.3213
1155,1156,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,300,96.04,10.1002/jat.3213
1156,1157,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,5,100.38,10.1002/jat.3213
1157,1158,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,10,96.923,10.1002/jat.3213
1158,1159,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,25,101.54,10.1002/jat.3213
1159,1160,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,50,96.346,10.1002/jat.3213
1160,1161,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,75,100.1,10.1002/jat.3213
1161,1162,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,100,100.38,10.1002/jat.3213
1162,1163,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,150,101.54,10.1002/jat.3213
1163,1164,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,175,98.654,10.1002/jat.3213
1164,1165,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,200,101.25,10.1002/jat.3213
1165,1166,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,300,100.1,10.1002/jat.3213
1166,1167,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,5,96.535,10.1002/jat.3213
1167,1168,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,10,89.109,10.1002/jat.3213
1168,1169,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,25,99.257,10.1002/jat.3213
1169,1170,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,50,93.069,10.1002/jat.3213
1170,1171,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,75,99.01,10.1002/jat.3213
1171,1172,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,100,103.22,10.1002/jat.3213
1172,1173,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,150,107.67,10.1002/jat.3213
1173,1174,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,175,107.18,10.1002/jat.3213
1174,1175,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,200,106.19,10.1002/jat.3213
1175,1176,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,300,96.04,10.1002/jat.3213
1176,1177,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,5,96.058,10.1002/jat.3213
1177,1178,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,10,88.558,10.1002/jat.3213
1178,1179,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,25,98.654,10.1002/jat.3213
1179,1180,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,50,92.596,10.1002/jat.3213
1180,1181,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,75,98.654,10.1002/jat.3213
1181,1182,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,100,102.69,10.1002/jat.3213
1182,1183,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,150,107.31,10.1002/jat.3213
1183,1184,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,175,106.44,10.1002/jat.3213
1184,1185,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,200,105.87,10.1002/jat.3213
1185,1186,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,300,95.481,10.1002/jat.3213
1186,1187,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,5,108.02,10.1002/jat.3213
1187,1188,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,10,99.543,10.1002/jat.3213
1188,1189,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,25,102.54,10.1002/jat.3213
1189,1190,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,50,111.02,10.1002/jat.3213
1190,1191,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,75,101.79,10.1002/jat.3213
1191,1192,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,100,106.78,10.1002/jat.3213
1192,1193,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,150,106.78,10.1002/jat.3213
1193,1194,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,175,103.78,10.1002/jat.3213
1194,1195,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,200,111.52,10.1002/jat.3213
1195,1196,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,3,300,101.79,10.1002/jat.3213
1196,1197,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,5,102.39,10.1002/jat.3213
1197,1198,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,10,103.76,10.1002/jat.3213
1198,1199,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,25,108.99,10.1002/jat.3213
1199,1200,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,50,107.61,10.1002/jat.3213
1200,1201,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,75,112.02,10.1002/jat.3213
1201,1202,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,100,109.82,10.1002/jat.3213
1202,1203,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,150,81.743,10.1002/jat.3213
1203,1204,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,175,111.74,10.1002/jat.3213
1204,1205,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,200,108.44,10.1002/jat.3213
1205,1206,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,3,300,115.87,10.1002/jat.3213
1206,1207,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,5,93.555,10.1002/jat.3213
1207,1208,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,10,101.29,10.1002/jat.3213
1208,1209,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,25,100.04,10.1002/jat.3213
1209,1210,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,50,98.295,10.1002/jat.3213
1210,1211,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,75,100.04,10.1002/jat.3213
1211,1212,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,100,95.8,10.1002/jat.3213
1212,1213,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,150,100.04,10.1002/jat.3213
1213,1214,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,175,102.54,10.1002/jat.3213
1214,1215,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,200,98.046,10.1002/jat.3213
1215,1216,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,6,300,94.553,10.1002/jat.3213
1216,1217,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,5,96.881,10.1002/jat.3213
1217,1218,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,10,101.01,10.1002/jat.3213
1218,1219,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,25,104.59,10.1002/jat.3213
1219,1220,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,50,99.633,10.1002/jat.3213
1220,1221,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,75,101.56,10.1002/jat.3213
1221,1222,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,100,94.679,10.1002/jat.3213
1222,1223,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,150,104.04,10.1002/jat.3213
1223,1224,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,175,103.76,10.1002/jat.3213
1224,1225,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,200,107.34,10.1002/jat.3213
1225,1226,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,6,300,97.982,10.1002/jat.3213
1226,1227,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,5,108.52,10.1002/jat.3213
1227,1228,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,10,108.02,10.1002/jat.3213
1228,1229,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,25,107.28,10.1002/jat.3213
1229,1230,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,50,105.53,10.1002/jat.3213
1230,1231,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,75,112.77,10.1002/jat.3213
1231,1232,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,100,107.28,10.1002/jat.3213
1232,1233,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,150,104.28,10.1002/jat.3213
1233,1234,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,175,98.046,10.1002/jat.3213
1234,1235,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,200,96.05,10.1002/jat.3213
1235,1236,2016,IronOxide,I,Silica,Negative,10,SHSY5Y,H,Adult,L,24,300,88.316,10.1002/jat.3213
1236,1237,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,5,96.881,10.1002/jat.3213
1237,1238,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,10,105.96,10.1002/jat.3213
1238,1239,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,25,104.59,10.1002/jat.3213
1239,1240,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,50,104.04,10.1002/jat.3213
1240,1241,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,75,107.06,10.1002/jat.3213
1241,1242,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,100,105.69,10.1002/jat.3213
1242,1243,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,150,104.31,10.1002/jat.3213
1243,1244,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,175,102.39,10.1002/jat.3213
1244,1245,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,200,96.33,10.1002/jat.3213
1245,1246,2016,IronOxide,I,OleicAcid,Negative,10.9,SHSY5Y,H,Adult,L,24,300,97.431,10.1002/jat.3213
1336,1337,2011,CuO,I,None,unknown,28,HepG2,H,Adult,L,48,5,51.746,10.1016/j.scitotenv.2011.07.039
1337,1338,2011,CuO,I,None,unknown,28,HepG2,H,Adult,L,48,10,38.889,10.1016/j.scitotenv.2011.07.039
1338,1339,2011,CuO,I,None,unknown,28,HepG2,H,Adult,L,48,25,20.317,10.1016/j.scitotenv.2011.07.039
1339,1340,2011,CuO,I,None,unknown,28,HepG2,H,Adult,L,48,50,13.651,10.1016/j.scitotenv.2011.07.039
1352,1353,2011,CuO,I,None,unknown,28,Hepatocytes,A,Adult,P,48,25,89.333,10.1016/j.scitotenv.2011.07.039
1353,1354,2011,CuO,I,None,unknown,28,Hepatocytes,A,Adult,P,48,50,90.667,10.1016/j.scitotenv.2011.07.039
1354,1355,2011,CuO,I,None,unknown,28,Hepatocytes,A,Adult,P,48,100,67.81,10.1016/j.scitotenv.2011.07.039
1355,1356,2011,CuO,I,None,unknown,28,Hepatocytes,A,Adult,P,48,200,48.952,10.1016/j.scitotenv.2011.07.039
1411,1412,2019,IronOxide,I,Silica,Negative,114,HK-2,H,Adult,L,24,1,100,10.1016/j.mrgentox.2019.05.015
1412,1413,2019,IronOxide,I,Silica,Negative,114,HK-2,H,Adult,L,24,5,98.305,10.1016/j.mrgentox.2019.05.015
1413,1414,2019,IronOxide,I,Silica,Negative,114,HK-2,H,Adult,L,24,25,77.331,10.1016/j.mrgentox.2019.05.015
1414,1415,2019,IronOxide,I,Silica,Negative,114,HK-2,H,Adult,L,24,50,65.89,10.1016/j.mrgentox.2019.05.015
1415,1416,2019,IronOxide,I,Silica,Negative,114,HK-2,H,Adult,L,24,100,54.661,10.1016/j.mrgentox.2019.05.015
1416,1417,2019,IronOxide,I,Silica,Negative,114,HK-2,H,Adult,L,24,200,45.975,10.1016/j.mrgentox.2019.05.015
1417,1418,2019,IronOxide,I,Silica,Negative,114,HK-2,H,Adult,L,24,400,45.339,10.1016/j.mrgentox.2019.05.015
1418,1419,2019,IronOxide,I,Silica-NH2,Negative,114,HK-2,H,Adult,L,24,1,106.28,10.1016/j.mrgentox.2019.05.015
1419,1420,2019,IronOxide,I,Silica-NH2,Negative,114,HK-2,H,Adult,L,24,5,100,10.1016/j.mrgentox.2019.05.015
1420,1421,2019,IronOxide,I,Silica-NH2,Negative,114,HK-2,H,Adult,L,24,25,91.498,10.1016/j.mrgentox.2019.05.015
1421,1422,2019,IronOxide,I,Silica-NH2,Negative,114,HK-2,H,Adult,L,24,50,85.83,10.1016/j.mrgentox.2019.05.015
1422,1423,2019,IronOxide,I,Silica-NH2,Negative,114,HK-2,H,Adult,L,24,100,80.162,10.1016/j.mrgentox.2019.05.015
1423,1424,2019,IronOxide,I,Silica-NH2,Negative,114,HK-2,H,Adult,L,24,200,69.838,10.1016/j.mrgentox.2019.05.015
1424,1425,2019,IronOxide,I,Silica-NH2,Negative,114,HK-2,H,Adult,L,24,400,52.227,10.1016/j.mrgentox.2019.05.015
1425,1426,2020,Au,I,Citrate,unknown,-,HUVEC,H,Embryonic,P,24,50,110.02,10.2147/IJN.S208225
1426,1427,2020,Au,I,Citrate,unknown,-,HUVEC,H,Embryonic,P,24,100,123.42,10.2147/IJN.S208225
1427,1428,2020,Au,I,Citrate,unknown,-,HUVEC,H,Embryonic,P,24,200,111.47,10.2147/IJN.S208225
1428,1429,2020,Au,I,Citrate,unknown,-,HUVEC,H,Embryonic,P,24,50,114.7,10.2147/IJN.S208225
1429,1430,2020,Au,I,Citrate,unknown,-,HUVEC,H,Embryonic,P,24,100,103.72,10.2147/IJN.S208225
1430,1431,2020,Au,I,Citrate,unknown,-,HUVEC,H,Embryonic,P,24,200,108.89,10.2147/IJN.S208225
1431,1432,2020,Au,I,Citrate,unknown,-,HUVEC,H,Embryonic,P,24,50,109.37,10.2147/IJN.S208225
1432,1433,2020,Au,I,Citrate,unknown,-,HUVEC,H,Embryonic,P,24,100,108.89,10.2147/IJN.S208225
1433,1434,2020,Au,I,Citrate,unknown,-,HUVEC,H,Embryonic,P,24,200,116.64,10.2147/IJN.S208225
1478,1479,2020,IronOxide,I,Dextran,unknown,30.15,HUVEC,H,Embryonic,P,24,30,99.258,10.2147/IJN.S208225
1479,1480,2020,IronOxide,I,Dextran,unknown,30.15,HUVEC,H,Embryonic,P,24,60,96.289,10.2147/IJN.S208225
1480,1481,2020,IronOxide,I,Dextran,unknown,30.15,HUVEC,H,Embryonic,P,24,120,92.579,10.2147/IJN.S208225
1481,1482,2020,IronOxide,I,Dextran,unknown,30.15,HUVEC,H,Embryonic,P,24,240,95.547,10.2147/IJN.S208225
1482,1483,2020,IronOxide,I,DMSA,unknown,45.3,HUVEC,H,Embryonic,P,24,30,97.403,10.2147/IJN.S208225
1483,1484,2020,IronOxide,I,DMSA,unknown,45.3,HUVEC,H,Embryonic,P,24,60,55.473,10.2147/IJN.S208225
1484,1485,2020,IronOxide,I,DMSA,unknown,45.3,HUVEC,H,Embryonic,P,24,120,3.8961,10.2147/IJN.S208225
1485,1486,2020,IronOxide,I,DMSA,unknown,45.3,HUVEC,H,Embryonic,P,24,240,4.4527,10.2147/IJN.S208225
1486,1487,2015,Au,I,MSA,Negative,1.5,WA09,H,Embryonic,L,24,10,15.174,10.1002/smll.201502346
1487,1488,2015,Au,I,MSA,Negative,4.2,WA09,H,Embryonic,L,24,10,98.172,10.1002/smll.201502346
1488,1489,2015,Au,I,Citrate,Negative,13.6,WA09,H,Embryonic,L,24,10,103.47,10.1002/smll.201502346
1489,1490,2015,Au,I,MSA,Negative,1.5,WA09,H,Embryonic,L,24,10,14.259,10.1002/smll.201502346
1490,1491,2015,Au,I,MSA,Negative,4.2,WA09,H,Embryonic,L,24,10,90.494,10.1002/smll.201502346
1491,1492,2015,Au,I,Citrate,Negative,13.6,WA09,H,Embryonic,L,24,10,79.087,10.1002/smll.201502346
1492,1493,2015,Au,I,MSA,Negative,1.5,WA09,H,Embryonic,L,24,0.001,90.573,10.1002/smll.201502346
1493,1494,2015,Au,I,MSA,Negative,1.5,WA09,H,Embryonic,L,24,0.01,87.616,10.1002/smll.201502346
1494,1495,2015,Au,I,MSA,Negative,1.5,WA09,H,Embryonic,L,24,0.1,75.97,10.1002/smll.201502346
1495,1496,2015,Au,I,MSA,Negative,1.5,WA09,H,Embryonic,L,24,1,56.562,10.1002/smll.201502346
1496,1497,2015,Au,I,MSA,Negative,1.5,WA09,H,Embryonic,L,24,10,0.92421,10.1002/smll.201502346
1497,1498,2015,Au,I,MSA,Negative,1.5,WA09,H,Embryonic,L,24,0.001,80.591,10.1002/smll.201502346
1498,1499,2015,Au,I,MSA,Negative,1.5,WA09,H,Embryonic,L,24,0.01,66.174,10.1002/smll.201502346
1499,1500,2015,Au,I,MSA,Negative,1.5,WA09,H,Embryonic,L,24,0.1,62.477,10.1002/smll.201502346
1500,1501,2015,Au,I,MSA,Negative,1.5,WA09,H,Embryonic,L,24,1,38.078,10.1002/smll.201502346
1501,1502,2015,Au,I,MSA,Negative,1.5,WA09,H,Embryonic,L,24,10,-1.1091,10.1002/smll.201502346
1504,1505,2019,Au,I,None,Negative,6,HeLa,H,Adult,L,24,50,96.19,10.1007/s10876-019-01695-5
1505,1506,2019,Au,I,None,Negative,6,HeLa,H,Adult,L,24,100,75.873,10.1007/s10876-019-01695-5
1506,1507,2019,Au,I,None,Negative,6,HeLa,H,Adult,L,24,200,47.09,10.1007/s10876-019-01695-5
1507,1508,2019,Au,I,None,Negative,6,HeLa,H,Adult,L,24,400,37.249,10.1007/s10876-019-01695-5
1508,1509,2019,Au,I,Citrate,unknown,12.5,HeLa,H,Adult,L,24,50,98.836,10.1007/s10876-019-01695-5
1509,1510,2019,Au,I,Citrate,unknown,12.5,HeLa,H,Adult,L,24,100,89.63,10.1007/s10876-019-01695-5
1510,1511,2019,Au,I,Citrate,unknown,12.5,HeLa,H,Adult,L,24,200,78.836,10.1007/s10876-019-01695-5
1511,1512,2019,Au,I,Citrate,unknown,12.5,HeLa,H,Adult,L,24,400,77.778,10.1007/s10876-019-01695-5
1512,1513,2019,Au,I,None,Negative,6,HEK293,H,Embryonic,L,24,50,94.301,10.1007/s10876-019-01695-5
1513,1514,2019,Au,I,None,Negative,6,HEK293,H,Embryonic,L,24,100,93.534,10.1007/s10876-019-01695-5
1514,1515,2019,Au,I,None,Negative,6,HEK293,H,Embryonic,L,24,200,89.918,10.1007/s10876-019-01695-5
